Received Log:

[9 jul. 2022 11:39:57 a. m.] ASCII:
#---INICIO DATOS---#
Visualiti;UNIX;RG1
ID;UXTIME;mm
M146;1655478059;0.2
M146;1655478068;0.2
M146;1655478075;0.2
M146;1655478083;0.2
M146;1655478091;0.2
M146;1655478098;0.2
M146;1655478107;0.2
M146;1655478114;0.2
M146;1655478121;0.2
M146;1655478128;0.2
M146;1655478136;0.2
M146;1655478143;0.2
M146;1655478150;0.2
M146;1655478156;0.2
M146;1655478162;0.2
M146;1655478168;0.2
M146;1655478174;0.2
M146;1655478181;0.2
M146;1655478188;0.2
M146;1655478195;0.2
M146;1655478202;0.2
M146;1655478209;0.2
M146;1655478217;0.2
M146;1655478223;0.2
M146;1655478231;0.2
M146;1655478238;0.2
M146;1655478246;0.2
M146;1655478253;0.2
M146;1655478260;0.2
M146;1655478267;0.2
M146;1655478274;0.2
M146;1655478282;0.2
M146;1655478289;0.2
M146;1655478297;0.2
M146;1655478305;0.2
M146;1655478314;0.2
M146;1655478323;0.2
M146;1655478334;0.2
M146;1655478345;0.2
M146;1655478357;0.2
M146;1655478369;0.2
M146;1655478379;0.2
M146;1655478388;0.2
M146;1655478397;0.2
M146;1655478405;0.2
M146;1655478413;0.2
M146;1655478422;0.2
M146;1655478431;0.2
M146;1655478439;0.2
M146;1655478447;0.2
M146;1655478456;0.2
M146;1655478468;0.2
M146;1655478480;0.2
M146;1655478496;0.2
M146;1655478511;0.2
M146;1655478527;0.2
M146;1655478542;0.2
M146;1655478558;0.2
M146;1655478572;0.2
M146;1655478584;0.2
M146;1655478597;0.2
M146;1655478608;0.2
M146;1655478617;0.2
M146;1655478626;0.2
M146;1655478634;0.2
M146;1655478642;0.2
M146;1655478648;0.2
M146;1655478655;0.2
M146;1655478664;0.2
M146;1655478671;0.2
M146;1655478679;0.2
M146;1655478687;0.2
M146;1655478695;0.2
M146;1655478701;0.2
M146;1655478710;0.2
M146;1655478719;0.2
M146;1655478728;0.2
M146;1655478735;0.2
M146;1655478742;0.2
M146;1655478750;0.2
M146;1655478761;0.2
M146;1655478771;0.2
M146;1655478779;0.2
M146;1655478787;0.2
M146;1655478796;0.2
M146;1655478806;0.2
M146;1655478816;0.2
M146;1655478829;0.2
M146;1655478841;0.2
M146;1655478852;0.2
M146;1655478862;0.2
M146;1655478870;0.2
M146;1655478880;0.2
M146;1655478889;0.2
M146;1655478897;0.2
M146;1655478905;0.2
M146;1655478914;0.2
M146;1655478923;0.2
M146;1655478933;0.2
M146;1655478942;0.2
M146;1655478952;0.2
M146;1655478962;0.2
M146;1655478972;0.2
M146;1655478982;0.2
M146;1655478991;0.2
M146;1655479000;0.2
M146;1655479010;0.2
M146;1655479025;0.2
M146;1655479042;0.2
M146;1655479058;0.2
M146;1655479073;0.2
M146;1655479089;0.2
M146;1655479105;0.2
M146;1655479119;0.2
M146;1655479132;0.2
M146;1655479143;0.2
M146;1655479153;0.2
M146;1655479161;0.2
M146;1655479169;0.2
M146;1655479178;0.2
M146;1655479188;0.2
M146;1655479199;0.2
M146;1655479210;0.2
M146;1655479221;0.2
M146;1655479231;0.2
M146;1655479242;0.2
M146;1655479252;0.2
M146;1655479263;0.2
M146;1655479276;0.2
M146;1655479288;0.2
M146;1655479301;0.2
M146;1655479315;0.2
M146;1655479329;0.2
M146;1655479343;0.2
M146;1655479355;0.2
M146;1655479369;0.2
M146;1655479385;0.2
M146;1655479402;0.2
M146;1655479417;0.2
M146;1655479434;0.2
M146;1655479451;0.2
M146;1655479468;0.2
M146;1655479484;0.2
M146;1655479503;0.2
M146;1655479521;0.2
M146;1655479544;0.2
M146;1655479576;0.2
M146;1655479659;0.2
M146;1655479724;0.2
M146;1655479753;0.2
M146;1655479780;0.2
M146;1655479814;0.2
M146;1655479896;0.2
M146;1655480050;0.2
M146;1655480182;0.2
M146;1655480479;0.2
M146;1655480858;0.2
M146;1655480961;0.2
M146;1655481164;0.2
M146;1655557443;0.2
M146;1655557511;0.2
M146;1655557561;0.2
M146;1655557586;0.2
M146;1655557610;0.2
M146;1655557627;0.2
M146;1655557640;0.2
M146;1655557653;0.2
M146;1655557662;0.2
M146;1655557671;0.2
M146;1655557684;0.2
M146;1655557698;0.2
M146;1655557713;0.2
M146;1655557730;0.2
M146;1655557741;0.2
M146;1655557756;0.2
M146;1655557775;0.2
M146;1655557789;0.2
M146;1655557798;0.2
M146;1655557809;0.2
M146;1655557816;0.2
M146;1655557822;0.2
M146;1655557828;0.2
